AmastyCoupon,AmastyCoupon
"Unable to save rule with ID %1. Error: %2","Unable to save rule with ID %1. Error: %2"
"Unable to save new rule. Error: %1","Unable to save new rule. Error: %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule with ID %1. Error: %2","Unable to remove rule with ID %1. Error: %2"
"Unable to remove rule. Error: %1","Unable to remove rule. Error: %1"
"You used coupon code ""%1""","You used coupon code ""%1"""
"You canceled the coupon code ""%1"".","You canceled the coupon code ""%1""."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Coupon code(s) not valid: %1","Coupon code(s) not valid: %1"
"Apply Coupon Code","Apply Coupon Code"
Apply,Apply
"Remove Coupon Code","Remove Coupon Code"
Remove,Remove
"Discount Codes","Discount Codes"
"Enter your code","Enter your code"
"Apply Coupon","Apply Coupon"
"APPLIED COUPONS","APPLIED COUPONS"
Cancel,Cancel
"Your coupon was successfully applied","Your coupon was successfully applied"
"Coupon code is not valid","Coupon code is not valid"
"Coupon code was removed","Coupon code was removed"
"Multiple Coupons","Multiple Coupons"
General,General
"Unique codes","Unique codes"
"If some other codes from the list is applied, all other coupons will be removed. The coupon codes are separated by commas","If some other codes from the list is applied, all other coupons will be removed. The coupon codes are separated by commas"
"Allow Several Coupons from the Same Rule","Allow Several Coupons from the Same Rule"
"Use Config Settings","Use Config Settings"
