Name,Name
Add,Add
Back,Back
"Delete Ticket","Delete Ticket"
Reset,Reset
Save,Save
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Send,Send
"New Ticket","New Ticket"
Home,Home
"Go to Home Page","Go to Home Page"
"My Account","My Account"
"Support Ticket","Support Ticket"
"Add new ticket","Add new ticket"
"My Tickets","My Tickets"
"Run Now","Run Now"
"This Ticket is not longer exist","This Ticket is not longer exist"
"You do not have access of this ticket","You do not have access of this ticket"
"Something went wrong while saving the ticket.","Something went wrong while saving the ticket."
"The ticket has been deleted.","The ticket has been deleted."
"The ticket no longer exists.","The ticket no longer exists."
"There was a problem while deleting the data","There was a problem while deleting the data"
"We can't find the ticket to delete.","We can't find the ticket to delete."
"Ticket #%1","Ticket #%1"
"Edit Ticket","Edit Ticket"
"Manage Tickets","Manage Tickets"
"You saved this data.","You saved this data."
"Something went wrong while saving the data.","Something went wrong while saving the data."
"Your Ticket has been created!","Your Ticket has been created!"
"Please Login Yourself","Please Login Yourself"
"Something went wrong while saving the note.","Something went wrong while saving the note."
"Email hase been successfully sent to Customer","Email hase been successfully sent to Customer"
"Email hase been successfully sent to Administation","Email hase been successfully sent to Administation"
"Could not save the data: %1","Could not save the data: %1"
"Requested note doesn't exist","Requested note doesn't exist"
Open,Open
Hold,Hold
Clos,Clos
Read,Read
Unread,Unread
Close,Close
"Requested ticket doesn't exist","Requested ticket doesn't exist"
"Unable to remove data %1","Unable to remove data %1"
Detail,Detail
Delete,Delete
"Delete ""Ticket""","Delete ""Ticket"""
"Are you sure you want to delete the Ticket?","Are you sure you want to delete the Ticket?"
"Sorry There is no Ticket with Id ","Sorry There is no Ticket with Id "
" Against Your Account"," Against Your Account"
"Ticket & Notes Information","Ticket & Notes Information"
"Ticket # %1","Ticket # %1"
Category,Category
Requester,Requester
Created,Created
Status,Status
"Ticket Information","Ticket Information"
Message,Message
Attchments,Attchments
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
Loading...,Loading...
Notes,Notes
"Add your Note","Add your Note"
"Please fill the required field","Please fill the required field"
"Attach file","Attach file"
"Notes Information","Notes Information"
