Name,Tên
Add,Thêm vào
Back,Trở lại
"Delete Ticket","Xóa vé"
Reset,Cài lại
Save,Tiết kiệm
"Save & Duplicate","Lưu & sao chép"
"Save & Close","Lưu & Đóng"
Send,Gửi
"New Ticket","Yêu cầu mới"
Home,Trang Chủ
"Go to Home Page","Đi tới Trang chủ"
"My Account","Tài khoản của tôi"
"Support Ticket","Hỗ trợ"
"Add new ticket","Thêm vé mới"
"My Tickets","HỖ TRỢ"
"Current Tickets","Vé hiện tại"
"Run Cron","Chạy Cron"
"Something went wrong while saving the ticket.","Đã xảy ra sự cố khi lưu vé."
"The ticket has been deleted.","Vé đã bị xóa."
"The ticket no longer exists.","Vé không còn tồn tại."
"There was a problem while deleting the data","Đã xảy ra sự cố khi xóa dữ liệu"
"We can't find the ticket to delete.","Chúng tôi không thể tìm thấy vé để xóa."
"Ticket #%1","Vé #% 1"
"Edit Ticket","Chỉnh sửa vé"
"Manage Tickets","Quản lý vé"
"You saved this data.","Bạn đã lưu dữ liệu này."
"Something went wrong while saving the data.","Đã xảy ra lỗi khi lưu dữ liệu."
"Please Login Yourself","Vui lòng tự đăng nhập"
"Something went wrong while saving the note.","
Đã xảy ra sự cố khi lưu ghi chú."
"Email hase been successfully sent to Customer","Đã gửi thành công email đến Khách hàng"
"Email hase been successfully sent to Administation","Đã gửi thành công email tới Quản trị viên"
"Could not save the data: %1","Không thể lưu dữ liệu:% 1"
"Requested note doesn't exist","Ghi chú được yêu cầu không tồn tại"
Open,Mở
Hold,Giữ
Clos,Clos
Read,Đọc
Unread,Chưa đọc
Close,Đóng
"Requested ticket doesn't exist","Vé yêu cầu không tồn tại"
"Unable to remove data %1","Không thể xóa dữ liệu% 1"
Detail,Chi tiết
Delete,Xóa bỏ
"Delete ""Ticket""","Xóa" "Vé" ""
"Are you sure you want to delete the Ticket?","Bạn có chắc chắn muốn xóa Vé không?"
"All Store Views","Tất cả lượt xem cửa hàng"
"Sorry There is no Ticket with Id ","Xin lỗi Không có vé có Id"
" Against Your Account","Chống lại tài khoản của bạn"
"Ticket & Notes Information","Thông tin về Vé & Ghi chú"
"Ticket # %1","Vé #% 1"
Category,thể loại
Requester,Người yêu cầu
Created,Tạo
Status,Trạng thái
"Ticket Information","thông tin vé"
Message,Thông điệp
Attchments,Tệp đính kèm
"The information in this tab has been changed.","Thông tin trong tab này đã được thay đổi."
"This tab contains invalid data. Please resolve this before saving.","Tab này chứa dữ liệu không hợp lệ. Vui lòng giải quyết vấn đề này trước khi lưu."
Loading...,Đang tải...
Notes,Ghi chú
"Add your Note","Thêm ghi chú của bạn"
"Attach file","Đính kèm tệp"
"Notes Information","Thông tin Ghi chú"
Subject,Môn học
File,Tập tin
Submit,Gửi đi
"FAQ!","Câu hỏi thường gặp!"
"Note Status","Ghi chú"
Action,Hoạt động
view,lượt xem
"You have not Created a Ticket.","Bạn chưa tạo yêu cầu nào"
Information,Thông tin
"Add Note","Thêm ghi chú"
