VN10100508626,Phường Tân Quý
VN10100509082,Phường Tân Quý
VN10100510713,Phường Bình Hưng Hòa A
VN10100510720,Phường 5
VN10100512593,Phường 14
VN10100516296,Xã Trạm Lộ
VN10100516365,Phường Tân Thới Nhất
VN10100516661,Xã An Nhơn Tây
VN10100516699,Phường 4
VN10100518590,Phường 17
VN10100520145,Phường 12
VN10100520254,Phường 1
VN10100520341,Phường Trường Thạnh
VN10100521294,Phường Trường Thọ
VN10100521641,Xã Ninh Sở
VN10100524385,Phường 5
VN10100527844,Xã Phước Kiển
VN10100527977,Phường 26
VN10100530485,Phường Trung Liệt
VN10100530773,Phường Quang Trung
VN10100530844,Phường Ninh Hiệp
VN10100534405,Phường 3
VN10100535140,Xã Xuân Thới Thượng
VN10100535803,Phường Bình Trị Đông B
VN10100537724,Phường Tân Hưng
VN10100538008,Phường Mỹ Long
VN10100539268,Phường Long Bình Tân
VN10100539741,Xã Cam Hòa
VN10100540617,Phường Sơn Kỳ
VN10100542952,Xã Long Thuận
VN10100543331,Phường 11
VN10100543723,Phường 1
VN10100544213,Phường 14
VN10100544856,Phường An Thới
VN10100545179,Phường Hòa Thạnh
VN10100545474,Phường Đại Phúc
VN10100546173,Phường 12
VN10100547217,Xã Dân Tiến
VN10100547659,Phường 2
VN10100549236,Phường 4
VN10100550121,Phường Ngọc Khánh
VN10100550252,Phường 8
VN10100550846,Phường 12
VN10100551825,Phường 12
VN10100552157,Phường 4
VN10100553459,Phường Hà Cầu
VN10100553788,Phường 9
VN10100553845,Xã Ninh Sở
VN10100554070,Phường Cát Lái
VN10100554155,Phường 27
VN10100554611,Phường 7
VN10100555171,Phường Vĩnh Nguyên
VN10100555344,Phường Phú Hữu
VN10100555750,Xã Song Phượng
VN10100556038,Phường An Phú
VN10100556129,Phường Tân Lập
VN10100556306,Phường Hàm Tiến
VN10100556667,Phường Đông Hồ
VN10100557110,Phường Bình Hưng Hòa B
VN10100557170,Phường Thụy Khuê
VN10100557280,Phường 14
VN10100557325,Xã Tiên Phương
VN10100557858,Xã Đào Hữu Cảnh
VN10100558275,Phường 15
VN10100558324,Phường 14
VN10100558391,Phường Long Bình
VN10100558553,Phường 6
VN10100558765,Phường Vĩnh Phú
VN10100558812,Phường 4
VN10100559217,Phường Đa Kao
VN10100559219,Phường 6
VN10100559687,Phường Quang Trung
VN10100560225,Phường Phước Long B
VN10100560429,Phường Tân Thành
VN10100560918,Phường Hưng Lợi
VN10100561912,Phường 5
VN10100562804,Xã Xuân Thới Thượng
VN10100563495,Phường 3
VN10100564160,Xã An Thạnh Trung
VN10100564371,Xã Vĩnh Lộc A
VN10100565061,Phường Linh Đông
VN10100565344,Phường Bến Nghé
VN10100565488,Xã Võng La
VN10100565930,Xã Ninh Sở
VN10100566346,Phường Nam Hà
VN10100566375,Phường 7
VN10100566854,Phường Hiệp Tân
VN10100567557,Phường 13
VN10100570194,Phường Phú Thịnh
VN10100570225,Phường Bình Hưng
VN10100570927,Phường 4
VN10100571178,Phường 9
VN10100571368,Xã Bắc Sơn
VN10100572293,Phường Thạnh Lộc
VN10100572389,Phường 2
VN10100574134,Phường Hoàng Văn Thụ
VN10100574349,Phường 11
VN10100574375,Phường Linh Trung
VN10100574779,Phường Quảng Thắng
VN10100574780,Phường 12
VN10100575030,Phường Xuân Phú
VN10100575205,Phường Thới Hòa
VN10100576600,Phường Hiệp Bình Chánh
VN10100576648,Phường Quán Bàu
VN10100576731,Phường 7
VN10100576904,Phường Long Phước
VN10100576946,Phường 16
VN10100577137,Phường Bến Nghé
VN10100577977,Xã Đồi 61
VN10100577994,Phường 3
VN10100578091,Phường Thạnh Mỹ Lợi
VN10100578371,Phường An Lạc
VN10100579080,Phường Yên Sở
VN10100579198,Phường Khương Trung
VN10100579199,Xã Cư Suê
VN10100579544,Phường Hoàng Liệt
VN10100579628,Phường 4
VN10100580109,Phường 14
VN10100581736,Phường Khương Trung
VN10100582314,Phường Tân Phong
VN10100582568,Phường Văn Quán
VN10100582603,Phường 1
VN10100582862,Xã Tri Thủy
VN10100582961,Xã Hiệp Hưng
VN10100583194,Phường Bình Chuẩn
VN10100583718,Phường 19
VN10100583824,Phường 5
VN10100583847,Thị trấn Ít Ong
VN10100583978,Phường Tân Thuận Tây
VN10100583994,Phường Đông Hải
VN10100584333,Phường Hưng Dũng
VN10100584375,Xã Phú Hội
VN10100584411,Phường 11
VN10100584615,Phường Võ Thị Sáu
VN10100585082,Xã Thanh Liệt
VN10100585253,Phường 2
VN10100585486,Phường Hiệp Bình Chánh
VN10100585858,Phường 15
VN10100586145,Phường 6
VN10100586533,Xã Xuân Thới Thượng
VN10100587099,Phường Điện Dương
VN10100587187,Phường Đông Hưng Thuận
VN10100587208,Phường Mễ Trì
VN10100587534,Phường An Lạc
VN10100587659,Phường 12
VN10100588089,thị trấn Ngọc Lặc
VN10100588196,Phường nam thành
VN10100588466,Phường Bùi Thị Xuân
VN10100588742,Phường Phú Hòa
VN10100589853,Phường Phúc La
VN10100590766,Phường Bình Hưng Hòa A
VN10100590996,Phường 5
VN10100592060,Phường 14
VN10100592470,Phường 11
VN10100592795,Phường Long Bình
VN10100594337,Phường 2
VN10100595244,Phường 6
VN10100595998,Xã Tân Thạch
VN10100596233,Phường Cốc Lếu
VN10100596608,Phường 1
VN10100596696,Xã Thạch Hoà
VN10100596836,Phường 6
VN10100597217,Phường 5
VN10100597258,Phường 1
VN10100597676,Phường Tứ Liên
