"Please select a city or district.","選擇行政區"
"* Required Fields","* 必填字段"
"Contact Information","聯繫信息"
Company,公司
"Phone Number","電話號碼"
Fax,傳真
Address,地址
"Street Address","街道地址"
"Street Address %1","街道地址 %1"
"Please select a city or district.","選擇行政區"
"Please select a region, state or province.","請選擇一個地區，州或省."
"This is your default billing address.","這是您的默認帳單地址."
"Use as my default billing address","設定為「我的住家地址」"
"This is your default shipping address.","這是您的默認送貨地址."
"Use as my default shipping address","設定為「我的送貨地址」"
"Save Address","保存地址"
"Go back","保存地址"
City/District,行政區
"Enter the street address","填寫街道與樓層"


