Back,Trở lại
"Delete Event","Xóa bỏ sự kiện"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
Save,Lưu lại
"Save & Duplicate","Lưu & trùng lặp"
"Save & Close","Lưu & đóng"
Home,Trang chủ
"Go to Home Page","Đi đến trang chủ"
Events,Sự kiện
"Current Events","Các sự kiện hiện tại"
"Previous Events","Các sự kiện trước đây"
Event,Sự kiện
Manager,Người quản lý
"Manage Events","Quản lý các sự kiện"
"Event was successfully deleted","Sự kiện đã được xóa thành công"
"Event could not be deleted","Sự kiện không thể xóa được"
"Manage Event","Quản lý các sự kiện"
"This event no longer exists.","Sự kiện này không còn tồn tại nữa."
"Edit Event","Biên tập sự kiện"
"New Event","Sự kiện mới"
"A total of %1 event(s) have been deleted.","Tổng cộng có %1 sự kiện đã bị xóa."
"Start Date should be before End Date","Ngày bắt đầu phải trước ngày kết thúc"
"You saved the event.","Cậu đã cứu được sự kiện."
"Something went wrong while saving the event.","Có chuyện gì đó không ổn trong khi lưu lại sự kiện."
"You duplicated the event.","Cậu đã sao chép sự kiện."
Enabled,Cho phép
Disabled,Vô hiệu hóa
Edit,Chỉnh sửa
Delete,Xóa bỏ
"Delete ""${ $.$data.event_title }""","Xóa ""${ $.$data.event_title }"""
"Are you sure you wan't to delete a ""${ $.$data.event_title }"" record?","Bạn chắc chắn muốn xóa bản ghi ""${ $.$data.event_title }""?"
"Back to list","Trở lại danh sách"
"No Event found!.","Không tìm thấy sự kiện!"
"Enable Event","Sử dụng sự kiện"
"Thumbnail Image","Hình ảnh ngón tay cái"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Store View","Xem cửa hàng"
Description,Mô tả
"Add New Event","Thêm sự kiện mới"
ID,ID
"Event Title","Tiêu đề sự kiện"
Thumbnail,Hình ảnh thu nhỏ
Status,Trạng thái
Created,Đã tạo
Modified,Đã sửa
"More","Nhiều hơn"
