"Reverse Logistics Order Created Successfully.","Reverse Logistics Order Created Successfully."
"Convenience Store Pickup","Convenience Store Pickup"
"Unable to select or save cvs location.","Unable to select or save cvs location."
"Cvs location with id ""%1"" does not exist.","Cvs location with id ""%1"" does not exist."
"Unable to save cvs location.","Unable to save cvs location."
"Unable to delete cvs location.","Unable to delete cvs location."
"Cvs location with quote address id ""%1"" does not exist.","Cvs location with quote address id ""%1"" does not exist."
"Cvs location with quote id ""%1"" does not exist.","Cvs location with quote id ""%1"" does not exist."
"GWLogistics CVS","GWLogistics CVS"
"Quote Address id for Quote ""%1"" does not exist.","Quote Address id for Quote ""%1"" does not exist."
"Shipping Method","Shipping Method"
"Reverse Logistic Order Creation","Reverse Logistic Order Creation"
"Create Shipping Label","Create Shipping Label"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order Informations","Order Informations"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"CVS Type","CVS Type"
"CVS Store ID","CVS Store ID"
"CVS Store Name","CVS Store Name"
"CVS Store Address","CVS Store Address"
"CVS Store Telephone","CVS Store Telephone"
"Please wait.","Please wait."
"No cvs location found.","No cvs location found."
"There were %1 results for your search.","There were %1 results for your search."
"Field ","Field "
" is required."," is required."
"Create Reverse Order","Create Reverse Order"
"Green World Logistics Configuration","Green World Logistics Configuration"
Enabled,Enabled
"Gateway URL","Gateway URL"
"Secure Gateway URL","Secure Gateway URL"
"Map URL","Map URL"
"Secure Map URL","Secure Map URL"
Title,Title
Mode,Mode
"Method Name","Method Name"
"Shipping Cost","Shipping Cost"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
