Back,Back
"Delete Magazine","Delete Magazine"
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Home,Home
"Go to Home Page","Go to Home Page"
"I'm LANEIGE","I'm LANEIGE"
Magazine,Magazine
"Manage Magazine","Manage Magazine"
"row was successfully deleted","row was successfully deleted"
"row could not be deleted","row could not be deleted"
"Manage Magazines","Manage Magazines"
"This magazine no longer exists.","This magazine no longer exists."
"Edit Magazine","Edit Magazine"
"New Magazine","New Magazine"
Magazines,Magazines
"A total of %1 magazine(s) have been deleted.","A total of %1 magazine(s) have been deleted."
"Magazine has been successfully saved.","Magazine has been successfully saved."
"Something went wrong while saving the magazine.","Something went wrong while saving the magazine."
"You duplicated the magazine.","You duplicated the magazine."
"Main Banner","Main Banner"
Image,Image
Video,Video
Enabled,Enabled
Disabled,Disabled
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Sorry there is no Magazine for %1","Sorry there is no Magazine for %1"
"Other Magazines","Other Magazines"
General,General
"Magazine Enabled","Magazine Enabled"
"Magazine Information","Magazine Information"
"Enable Magazine","Enable Magazine"
"Magazine Title","Magazine Title"
"Sort Order","Sort Order"
"Thumbnail Image","Thumbnail Image"
"Thumbnail Alt","Thumbnail Alt"
"Short Description","Short Description"
Type,Type
"Select Month To show","Select Month To show"
"Store View","Store View"
Content,Content
"Add New Magazine","Add New Magazine"
ID,ID
Title,Title
Status,Status
Thumbnail,Thumbnail
Alt,Alt
"Created At","Created At"
"Updated At","Updated At"
