"Invalid login or password.","Invalid login or password."
"Email/Phone Number","Email/Phone Number"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"* Required Fields","* Required Fields"
"Social Login","Social Login"
"Welcome to use FB, Google, and LINE accounts to quickly log in. After setting, you can directly log in with FB and Google accounts!","Welcome to use FB, Google, and LINE accounts to quickly log in. After setting, you can directly log in with FB and Google accounts!"
"I am a member of Sulwhasoo Taiwan! Login now to complete the binding","I am a member of Sulwhasoo Taiwan! Login now to complete the binding"
"I am a member of Laneige Taiwan! Login now to complete the binding","I am a member of Laneige Taiwan! Login now to complete the binding"
"Join Taiwan Laneige member! Complete binding","Join Taiwan Laneige member! Complete binding"
"Join Taiwan Sulwhasoo member! Complete binding","Join Taiwan Sulwhasoo member! Complete binding"
"Linked Account : Google ID/Facebook/Line","Linked Account : Google ID/Facebook/Line"
"Email / Mobile Number","Email / Mobile Number"
Canel,Canel
OK,OK
"Email Address / Mobile Number","Email Address / Mobile Number"
"Email Address","Email Address"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Eguana Mobile Login","Eguana Mobile Login"
"Mobile Login","Mobile Login"
"General Setting","General Setting"
"Enable Module","Enable Module"
