"Thank you for using our services","Thank you for using our services"
"we can't implement secession. please try again later","we can't implement secession. please try again later"
"Account Information","Account Information"
"Contact Information","Contact Information"
Edit,Edit
"Change Password","Change Password"
Newsletters,Newsletters
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"Click here to leave account","Click here to leave account"
"Account Leave Confirmation","Account Leave Confirmation"
"Are you sure you want to leave your account?","Are you sure you want to leave your account?"
"Personal Information Protection","Personal Information Protection"
"General Setting","General Setting"
"Enable Module","Enable Module"
