"Could not save the red invoice info: %1","Không thể lưu thông tin hóa đơn đỏ:%1"
"Could not delete the red invoice info: %1","Không thể xóa thông tin hóa đơn đỏ:%1"
"Red Invoice Information","Thông tin hóa đơn đỏ"
"Red Invoice Id:","Id Hóa đơn Đỏ:"
id,Tôi
"Company Name:","Tên công ty:"
"Tax Code:","Mã số thuế:"
State:,"Tiểu bang:"
"Road Name:","Tên đường:"
"Request for redinvoice","yêu cầu hóa đơn đỏ"
Apply,"Ứng dụng"
"Do not apply","không áp dụng"
"Company name","Tên công ty"
"Tax code","Mã số thuế"
"Company address","Địa chỉ công ty"
"Road name/building","Tên đường / tòa nhà"
"Country/District","Quốc gia / Quận"
"State/Province","Bang / Tỉnh"
"Road Name/Building","Tên đường / Tòa nhà"
