Back,Back
"Delete Redemption","Delete Redemption"
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Home,Home
"Go to Home Page","Go to Home Page"
Redemption,Redemption
Manage,Manage
"Manage Redemption","Manage Redemption"
"A total of %1 record(s) have been expired.","A total of %1 record(s) have been expired."
"A total of %1 record(s) have been redeemed.","A total of %1 record(s) have been redeemed."
"A total of %1 record(s) have been registered.","A total of %1 record(s) have been registered."
"Redemption was successfully deleted","Redemption was successfully deleted"
"Redemption could not be deleted","Redemption could not be deleted"
"Edit Redemption","Edit Redemption"
"New Redemption","New Redemption"
Redemptions,Redemptions
"A total of %1 redemption(s) have been deleted.","A total of %1 redemption(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"The value specified in the URL Key is already exists. Please use a unique identifier key","The value specified in the URL Key is already exists. Please use a unique identifier key"
"Start Date should be before End Date","Start Date should be before End Date"
"This redemption no longer exists.","This redemption no longer exists."
"The redemption URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The redemption URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The redemption URL key can't use only numbers. Add letters or words and try again.","The redemption URL key can't use only numbers. Add letters or words and try again."
"You saved the redemption.","You saved the redemption."
"Something went wrong while saving the redemption.","Something went wrong while saving the redemption."
"You duplicated the redemption.","You duplicated the redemption."
"The redemption module is disable by admin.","The redemption module is disable by admin."
"The redemption process has been completed.","The redemption process has been completed."
"This redemption has been expired!","This redemption has been expired!"
"This redemption will be available at %1","This redemption will be available at %1"
"Email or SMS sending failed.","Email or SMS sending failed."
"You have successfully applied for redemption, please check your email and newsletter.","You have successfully applied for redemption, please check your email and newsletter."
"Something went wrong while saving the counter.","Something went wrong while saving the counter."
"No redemption exsit with ' . . ' id","No redemption exsit with ' . . ' id"
