Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
Save,Save
"Save and Continue Edit","Save and Continue Edit"
Stores,Stores
"You Delete this Store Information.","You Delete this Store Information."
"You saved this Store Information.","You saved this Store Information."
"Please correct the data sent.","Please correct the data sent."
"A total of %1 Store(s) have been deleted.","A total of %1 Store(s) have been deleted."
"Unable to find history with ID ""%1""","Unable to find history with ID ""%1"""
Edit,Edit
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"All Store Views","All Store Views"
"Please enter the address or counter name","Please enter the address or counter name"
"Please enter your current location","Please enter your current location"
"Total <strong> %1 </strong> Articals Found","Total <strong> %1 </strong> Articals Found"
"We found <strong>%1 stores</strong> near your location","We found <strong>%1 stores</strong> near your location"
address,address
Tel,Tel
Email,Email
Timing,Timing
"No store exist for this address in this store view","No store exist for this address in this store view"
"Store Locator","Store Locator"
"Manage Store Locations","Manage Store Locations"
"Eguana Stores Config","Eguana Stores Config"
"Eguana Store Locator","Eguana Store Locator"
"General StoreLocator","General StoreLocator"
Enabled,Enabled
"Google Map Api key","Google Map Api key"
"Store Locator Bottom Block Id","Store Locator Bottom Block Id"
"Frontend Stores Map","Frontend Stores Map"
Map_Height,Map_Height
"Map Zoom","Map Zoom"
"Store Locator Information","Store Locator Information"
"Store View","Store View"
"Store Title","Store Title"
"Store Type","Store Type"
Address,Address
Telephone,Telephone
"Store Timing","Store Timing"
"Store Country","Store Country"
"Map Location","Map Location"
"Add New","Add New"
"Are you sure you want to delete the selected stores?","Are you sure you want to delete the selected stores?"
"Delete items","Delete items"
ID,ID
"Created At","Created At"
location,location
Home,Home
"Find Store","Find Store"
