"Map View","地図を見る"
"Store Locator Information","店舗情報"
"your Api key is not valid","APIキーが有効ではありません。"
"You Delete this Store Information.","店舗情報を削除しました。"
"You saved this Store Information.","店舗情報を保存しました。"
"Unable to find history with ID ""%1""","IDが""%1""な記録を見つけられません。"
"Find a Store","店舗検索"
"Find a Store near you","店舗検索"
"Enter city, postcode or location","都市、郵便番号または位置を入力してください。"
"A store around my location","自宅近辺のお店"
"All Store Types","全店舗タイプ"
"Department stores","百貨店・取扱店"
"Outlet stores","アウトレット"
"Retail stores","直営店"
"Duty Free stores","免税店"
"<strong>%1</strong> result","<strong>%1</strong> 店舗"
"We found <strong>%1 stores</strong> near your location","周辺に<strong>%1</strong>か所のお店が見つかりました。"
"Map Key","千々木"
Tel,電話番号
Km,Km
"Store Title","埋葬名"
"Opening Time","営業開始時間"
"Closing Time","営業終了時間"
"Opening hours","営業時間"
"Store Country","埋葬国家"
"Store Type","店頭タイプ"
"<strong>%1Km</strong> away from your location","<strong>%1Km</strong>離れたところにあります。"
Get Directions,道探し
"No store exist for this address in this store view","住所に関する店舗情報がありません。"
"Store Locator","店舗情報"
"Eguana Stores Config","店舗情報設定"
"Manage Store Locations","店舗情報管理"
"Eguana Store Locator","店舗情報"
"General StoreLocator","基本店舗情報"
"Google Map Api key","Google地図 Apiキー"
"Naver Map Client Id","Naver地図 Client Id"
"If defualt country is korea then naver map will be used.","もし国が韓国だったら、Naver地図が使われるはずです。"
"Naver Map Secret","Naver地図 Secret"
"Search Radius limit","検索半径制限"
"Frontend Stores Map","フロント売り場地図"
Map_Height,地図の高さ
"Map Zoom","地図 Zoom"
"Admin Stores Map","アドミンの埋葬地図"
"Default Location","基本座標"
"Icon Weight","アイコンの幅"
"Icon Height","アイコン高さ"
"Icon Content","Icon Content"
"Map Viewer","地図を見る"
Telephone,電話番号
"Map Location","位置座標"
"Stores Pagination","ストアのページング"
"Select number of stores show per page","ページあたりの店舗数の選択"
"Show 5 stores per page","1ページ5店舗"
"Show 10 stores per page","1ページ10店舗"
"Show 15 stores per page","1ページあたり15店舗"
"Please enter your current location","現在の住所を入力してください。"
