"Product","產品"
"My Cart","購物車"
"Back to cart","返回購物車"
"Personal Info","個人資料"
"Purchase History","購物記錄"
"My Orders","網上訂單"
"My Wish List","我的收藏"
"Address Book","送貨地址"
"Subscribe","立即訂閱"
"Enter your email address","輸入你的電郵地址"
"Create an Account","註冊"
"Sign In","登入"
"Register","註冊"
"Membership Program","尊貴會藉"
"Brand Sites","品牌網站"
"Email","電郵地址"
"Mobile Number","手提電話"
"Password","密碼"
"Confirm Password","確認密碼"
"Customer Login","會員登入"
"Sign Out","登出"
"Please enter your email","請輸入你的電郵地址"
"Please enter your password","請輸入你的密碼"
"Please enter your password again","請再一次輸入你的密碼"
"Forgot Password","啟動/忘記密碼"
"Facebook Login","以 Facebook 登入"
"Facebook Register","以 Facebook 註冊"
"or","或"
"My Cart","購物車"
"You have no items in your shopping cart.","你的購物車中沒有商品。"
"Continue Shopping","繼續購物"
"View and edit cart","確認"
"Continue","繼續購物"
"Cart Subtotal","產品總額"
"Grand Total","產品總額"
"Track Order","訂單追蹤"
"View Order","查看"
"Shipping Address","管理地址"
"Discount","折扣金額"
"Shipping & Handling","運費"
"Subtotal","貨品總額"
"Out of stock","暫時缺貨"
"Back","返回"
"Order Number","交易編號"
"Order Location","購買地點"
"Order Date","購買日期"
"Items Ordered","訂單產品"
"OrderInfo/Processing","訂單處理中"
"OrderInfo/V-Logic Success","訂單處理中"
"OrderInfo/V-Logic Fail","訂單處理中"
"OrderInfo/Shipping","運輸中"
"OrderInfo/Pending","等待中"
"OrderInfo/Canceled","已取消"
"Add New Address","新增／編輯送貨地址"
"Default Shipping Address","設定為預設送貨地址"
"Edit","編輯"
"You have no other address entries in your address book.","你沒有其他送貨地址。"
"Continue as guest?","非會員購買"
"Checkout/Shipping","運送"
"Checkout/Review & Payments","立即付款"
"Checkout/Complete","完成"
"Create New Customer Account","註冊成為會員"
"<p>立即建立你的帳戶以便管理及查看訂單狀態，並尊享成為 AMOREPACIFIC 香港會員的特別優惠及禮遇：</p><ul><li>．累積消費金額可轉化為積分換領精彩禮品</li><li>．尊享獨家會員禮遇及優惠</li><li>．獲得最新 AMOREPACIFIC 產品及活動資訊</li></ul><p>*如閣下已是 AMOREPACIFIC 會員，並首次使用此網站購物，請先註冊網上帳戶！</p>","<p>立即建立你的帳戶以便管理及查看訂單狀態，並尊享成為 AMOREPACIFIC 香港會員的特別優惠及禮遇：</p><ul><li>．累積消費金額可轉化為積分換領精彩禮品</li><li>．尊享獨家會員禮遇及優惠</li><li>．獲得最新 AMOREPACIFIC 產品及活動資訊</li></ul><p>*如閣下已是 AMOREPACIFIC 會員，並首次使用此網站購物，請先註冊網上帳戶！</p>"
"Register/Name","姓名"
"Last Name","姓氏"
"First Name","名字"
"Please choose the age group","選擇年齡"
"Month","月份"
"Day","日期"
"Register/Subscription","本人希望收取AMOREPACIFIC品牌及會員通訊，包括: 獨家禮遇、會員購物優惠、個人化禮遇及新產品資訊等。"
"Please input your phone number","請輸入手提電話號碼"
"Please input the verification code","請輸入驗證碼"
"Send Verification Code","發送驗證碼"
"Send SMS","發送驗證碼"
"Register/Phone","手提電話"
"Register/AgeRange","年齡"
"Register/Birthday","生日日期"
"Register/Tnc","本人已閱讀並同意<a href=%1 target=\"_blank\">私隱政策</a>與<a href=%2 target=\"_blank\">條款及細則</a>。"
"Forgot Your Password","啟動/忘記密碼"
"Bind/Confirm","帳戶系統顯示電話號碼 %1為現有會員<br/><span class='name'>%2</span><br/>請確定此身分是否為閣下本人。"
"Bind/Yes","確定為本人"
"Bind/No","不是本人"
"Bind/Continue","繼續"
"Bind/ContinueMessage","系統正在設定你的帳戶，請按繼續。"
"Bind/FetchingMessage","系統正在設定你的帳戶，你可選擇手動更新狀態或等待客服稍後協助。"
"Bind/Refersh","手動更新"
"Bind/CSHelp","客服協助"
"BindSuccess/ContinuePayment","繼續付款"
"BindSuccess/AccountPage","前往個人賬戶頁面"
"BindSuccess/Header","成功註冊"
"BindSuccess/Message","你已成功註冊"
"Edit Account Information","個人資料"
"AccountEdit/Name","姓名"
"AccountEdit/Phone","手提電話"
"AccountEdit/Birthday","生日日期"
"AccountEdit/Address","通訊地址"
"AccountEdit/ChangePassword","更改帳戶密碼"
"Change Password","啟動/更改密碼"
"Current Password","現時密碼"
"New Password","新密碼"
"AccountEdit/PasswordEditHint","由6-12位數字和英文字母組成"
"Confirm New Password","確認新密碼"
"Cart/MoveToWishlist","加入收藏夾"
"Header/Wishlist","我的收藏夾"
"Header/Logout","登出"
"Header/MemberPoint","會員積分："
"Remove item","刪除產品"
"Minus","減"
"Plus","加"
"Cart/Subtotal","總額"
"Qty","數量"
"Cart/Item","商品"
"Order Total","產品總額"
"Shopping Cart","購物車"
"Proceed to Checkout","下一步"
"OrderInfo/Number","訂單編號"
"OrderInfo/Total","產品總額"
"OrderInfo/Status","訂單狀態"
"<span class="label">OrderInfo/Date</span> %1","<span class="label">訂購日期</span> %1"
"Cart/CouponCode","優惠代碼（如適用）"
"Cart/InputCouponCode","輸入優惠代碼"
"Shipping/Normal","送貨"
"Shipping/SFExpress","順豐自取服務"
"You will be redirected to the AsiaPay payment gateway. Once complete, you will return to our site for confirmation of your order.","即將轉至網上付款頁面，你可使用信用咭作交易。<br/>付款完成後，系統將自動轉回此網頁繼續訂單確認。"
"High to Low","價錢由高到低"
"Low to High","價錢由低到高"
"Place Order","繼續付款"
"Sort By Newest","最新上架"
"Sort By","排序方式"
"Product/Price","價錢"
"NEW","NEW"
"Are you sure you would like to remove this item from the shopping cart?","地址刪除後將無法恢復，請問是否確定刪除?"
"Choose an Option...","無選項"
"Product/Option","選項"
"Add to Cart","加入購物車"
"Add to Wish List","加入收藏夾"
"Form/Required","必須填寫"
"SMS::You have already logged in","你已登入"
"SMS::The phone number is already used, please login your existing account.","此電話號碼已登記成為會員，請以現有帳戶登入。"
"SMS::You have reached the max sms sending trial.","你已達到發送驗證碼的上限次數。"
"SMS::Please try again.","請重新嘗試。"
"SMS::Please try again and ensure region and phone are filled.","請重新嘗試。"
"SMS::RetryPrefix",""
"SMS::RetrySuffix","秒後重發"
"POS::RemainingPoint","積分結餘"
"POS::BonusExpiryDatePrefix","積分有效期 "
"POS::GradeUpgrade","會籍升級"
"POS::GradeVerifying","會藉審核中"
"POS::GradeVerifyingDetail","我們已收到你的會員註冊申請。<br/>資料正在審核中，請耐心等候。"
"POS::Point","積分"
"Product::Color","顏色"
"Product::MailMe","貨到通知我"
"Product::GoToCart","立即購買"
"Product::GoToCartShort","購買"
"Product::In stock","In stock"
"Product::Low stock","Low in stock"
"Product::Out of stock","Out of stock"
"Product::pf_all_skin_types","所有肌膚"
"Product::pf_morning","早"
"Product::pf_evening","晚"
"Product::pf_morning_n_evening","早晚"
"Product::pf_lifting","防皺"
"Product::pf_uv_rays","防紫外線"
"Product::pf_brightening","美白"
"ProductNotify::LoginFirst","請先登入。"
"ProductNotify::TryAgain","請重新嘗試。"
"ProductNotify::NoNeedNotify","無須通知。"
"ProductNotify::ProductNotExist","找不到產品。"
"ProductNotify::Success","當產品有存貨時，你將收到電郵通知。"
"Please enter your phone number below to receive an email and a password reset link.","請輸入你的電話號碼以接收SMS和驗證碼。"
"Search::Keyword","請輸入關鍵字"
"Search::Cancel","取消"
"Klevu::No matching products found.","找不到相關產品。"
"Search::ResultSummary","與 <span class="highlight">%1</span> 相關的搜尋結果共有 <span class="count">%2</span> 個"
"Search::More","更多"
"CheckoutForm::notCalculatedMessage","-"
"CheckoutForm::phone_region","手提電話"
"CheckoutForm::phone_region_remark","手提電話"
"CheckoutForm::Lastname","姓名"
"CheckoutForm::LastnamePlaceholder","姓氏"
"CheckoutForm::Firstname","姓名"
"CheckoutForm::FirstnamePlaceholder","名字"
"CheckoutForm::Telephone","手提電話"
"CheckoutForm::TelephonePlaceholder","請輸入手提電話號碼"
"CheckoutForm::Email","電郵地址"
"CheckoutForm::EmailPlaceholder","請輸入電郵地址"
"CheckoutForm::Street","送貨地址"
"CheckoutForm::StreetExtra"," ( 送貨服務只接受送往香港及澳門境內的訂單 )"
"StreetExtra","送貨服務只接受送往香港及澳門境內的訂單"
"CheckoutForm::shippingPlaceholder","運費"
"SFExpressForm::MethodList","自取方式"
"SFExpressForm::ShopList","選擇順豐站"
"SFExpressForm::ShopMethod","順豐站"
"SFExpressForm::LockerMethod","順豐智能櫃"
"SFExpressForm::RegionPlaceholder","地區"
"SFExpressForm::AreaPlaceholder","區域"
"SFExpressForm::ShopPlaceholder","店舖"
"CheckoutForm::TypeName","順豐自取服務"
"CheckoutForm::originalShippingMethodTitle","送貨"
