"Customer Service Team","고객센터"
"Telephone","전화번호"
"Street Address 3","주소3"
"How to Use","사용/미용법"
"Product Characteristics","제품특징"
"Proven Results","효능효과"
"Color Shades","컬러쉐이드"
"MultiShipping","다중배송"
"Return History","반품 목록"
"Reviews List","리뷰 목록"
"My Orders View","주문 상세보기"
"My Requisition View","요청 상세보기"
"My Quotes View","견적 상세보기"
"My Returns View","반품 상세보기"
"My Product Reviews View","리뷰 상세보기"
"<span>See More</span>","<span>상세보기</span>"
"Customers Also Love","함께 사용하면 좋은 제품"
"Are you sure you would like to remove selected items from the requisition list?","요청 목록에서 선택한 항목을 제거하시겠습니까?"
"Use your reward points (%1 available)","포인트 사용(%1 가능)"
"Default Billing & Sipping Address","기본 결제 & 배송 주소"
"Address %1","주소 %1"
"Are you sure you want to delete this card:","이 카드를 삭제하시겠습니까?"
"No Payment Information Required","결제 정보 필요 없음"
"Orders And Returns","주문 및 반품"
"Please select user or team","사용자 또는 팀을 선택하십시오."
"Please select a user or team first.","사용자나 팀을 먼저 선택해 주십시오."
"Add & Edit Address","신규 주소 저장 및 수정"
