"Customer Service Team","客戶服務團隊"
"Telephone","電話"
"Street Address 3","街道地址3"
"How to Use","如何使用"
"Product Characteristics","產品特徵"
"Proven Results","驗證的結果"
"Color Shades","顏色陰影"
"MultiShipping","多件運輸"
"Return History","退貨記錄"
"Reviews List","評論清單"
"My Orders View","我的訂單視圖"
"My Requisition View","我的請購單"
"My Quotes View","我的行情視圖"
"My Returns View","我的退貨視圖"
"My Product Reviews View","我的產品評論視圖"
"<span>See More</span>","<span>查看更多</span>"
"Customers Also Love","客戶也愛"
"Are you sure you would like to remove selected items from the requisition list?","您確定要從請購單中刪除所選項目嗎？"
"Use your reward points (%1 available)","使用您的獎勵積分(%1 可用的)"
"Default Billing & Sipping Address","默認帳單和送貨地址"
"Address %1","地址 %1"
"Are you sure you want to delete this card:","您確定要刪除此卡嗎？"
"No Payment Information Required","無需付款信息"
"Orders And Returns","訂單和退貨"
"Please select user or team","請選擇用戶或團隊"
"Please select a user or team first.","請先選擇一個用戶或團隊。"
"Add & Edit Address","添加和編輯地址"
