Events,Sự kiện
"Customer Service Team","Đội dịch vụ khách hàng"
"Telephone","Điện thoại"
"Street Address 3","Địa chỉ đường số 3"
"How to Use","Cách sử dụng"
"Product Characteristics","Các đặc điểm sản phẩm"
"Proven Results","Kết quả đã được chứng minh"
"Color Shades","Sắc thái"
"MultiShipping","Hàng loạt"
"Return History","Lịch sử trả hàng"
"Reviews List","Xem xét danh sách"
"My Orders View","Xem đơn đặt hàng của tôi"
"My Requisition View","Cái nhìn yêu cầu của tôi"
"My Quotes View","Cái nhìn trích dẫn của tôi"
"My Returns View","Cái nhìn trả lại của tôi"
"My Product Reviews View","Xem lại sản phẩm của tôi"
"<span>See More</span>","<span>Xem thêm</span>"
"Customers Also Love","Khách hàng cũng yêu mến"
"Are you sure you would like to remove selected items from the requisition list?","Bạn có chắc là muốn loại bỏ các khoản đã chọn ra khỏi danh sách yêu cầu không?"
"Use your reward points (%1 available)","Sử dụng điểm thưởng của bạn(%1 có sẵn)"
"Default Billing & Sipping Address","Địa chỉ thanh toán và nhận tiền mặt"
"Address %1","Địa chỉ %1"
"Are you sure you want to delete this card:","Bạn có chắc là muốn xóa thẻ này không?"
"No Payment Information Required","Không cần thông tin thanh toán"
"Orders And Returns","Các đơn đặt hàng và trả lại"
"Please select user or team","Xin hãy chọn người dùng hoặc tổ"
"Please select a user or team first.","Hãy chọn một người dùng hoặc một đội trước."
"Add & Edit Address","Thêm & chỉnh sửa địa chỉ"
"Remember my account","Nhớ tài khoản"
"Email / Phone number","Email/Số điện thoại"
"Mobile number","Số điện thoại di động"
"DM City","Thành phố DM"
"DM State","Bang DM"
"DM Detailed Address","Địa chỉ chi tiết của DM"
"DM Zipcode","Mã khóa di đột nhập"
"Favorite Store","Cửa hàng ưa thích"
"Referrer Code","Mã số người tham khảo"
"SMS Marketing","Tiếp thị SMS"
"DM Marketing","Nhận thông báo về ưu đãi và khuyến mãi"
"Please enter more or equal than 5 symbols.","Vui lòng nhập nhiều hơn hoặc nhiều hơn 5 ký tự."
"Password Strength","Sức mạnh mật khẩu"
"""DM Detailed Address"" contains non-alphabetic or non-numeric characters.","""Địa chỉ chi tiết của DM"" chứa các ký tự không phải chữ cái hoặc không số."
"Logistics","Hậu cần"
"Review & Payments","Đánh giá & Thanh toán"
"%1 items in the shopping cart","%1 mặt hàng trong xe đẩy mua sắm"
"Green World Integration Gold Flow","Dòng vàng hội nhập thế giới xanh"
"Shopping cart subtotal","Tổng cộng nhỏ của xe bán hàng"
"Total order","Tổng thứ tự"
"Transport to:","Chuyển đến："
"Mailing method:","Phương pháp gửi thư："
"Confirm Order","Xác nhận thứ tự"
"My billing and delivery address are the same","Địa chỉ thanh toán và giao hàng của tôi giống nhau"
"Check / Money order","Kiểm tra / đơn đặt hàng tiền"
"Please replace this text with you Privacy Policy. Please add any additional cookies your website uses below (e.g. Google Analytics).","Vui lòng thay thế văn bản này bằng chính sách riêng tư của bạn. Vui lòng thêm bất kỳ loại bánh quy nào mà trang web của bạn sử dụng dưới đây (ví dụ Google Analytics)."
"Unable to send mail:","Không thể gửi thư được："
"%1 items in wish list","%1 mục trong danh sách ước nguyện"
"Invalid Form Key. Please refresh the page.","Khóa dạng không hợp. Vui lòng thay đổi trang giấy."
"Mouse over to zoom","Chuột qua để phóng to"
"POS Information","Thông tin về việT"
"telephone","gọi điện thoại"
"Get Code","Gửi mã"
"Verify","Xác nhận"
"Verify Registration","Đăng ký"
"Code","Mã xác nhận"
